AID,YEAR_R,PROD_CODE,FULL_NAME,PROV_CODE,PROVINCE_N,PLANT_AREA,PRODUCT,HARVEST_AREA,DATE_R
1,2564,1,กุ้งกุลาดำ,25,ปราจีนบุรี,12,4,333,7112565
2,2564,1,กุ้งกุลาดำ,24,ฉะเชิงเทรา,832,1646,1978,7112565
3,2564,1,กุ้งกุลาดำ,22,จันทบุรี  ,545,926,1699,7112565
4,2564,1,กุ้งกุลาดำ,23,ตราด,39,45,1150,7112565
5,2564,1,กุ้งกุลาดำ,21,ระยอง,156,201,1288,7112565
6,2564,1,กุ้งกุลาดำ,74,สมุทรสาคร,92,90,978,7112565
7,2564,1,กุ้งกุลาดำ,75,สมุทรสงคราม,24,34,1417,7112565
8,2564,1,กุ้งกุลาดำ,76,เพชรบุรี,36,40,1111,7112565
9,2564,1,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,264,389,1473,7112565
10,2564,1,กุ้งกุลาดำ,86,ชุมพร,443,821,1853,7112565
11,2564,1,กุ้งกุลาดำ,85,ระนอง,176,324,1841,7112565
12,2564,1,กุ้งกุลาดำ,84,สุราษฎร์ธานี,540,1096,2030,7112565
13,2564,1,กุ้งกุลาดำ,82,พังงา,2177,3211,1475,7112565
14,2564,1,กุ้งกุลาดำ,83,ภูเก็ต,351,779,2219,7112565
15,2564,1,กุ้งกุลาดำ,81,กระบี่,2335,2658,1138,7112565
16,2564,1,กุ้งกุลาดำ,92,ตรัง,498,914,1835,7112565
17,2564,1,กุ้งกุลาดำ,80,นครศรีธรรมราช,87,82,943,7112565
18,2564,1,กุ้งกุลาดำ,93,พัทลุง,9,8,889,7112565
19,2564,1,กุ้งกุลาดำ,90,สงขลา,482,621,1288,7112565
20,2564,1,กุ้งกุลาดำ,91,สตูล,240,533,2221,7112565
21,2564,1,กุ้งกุลาดำ,94,ปัตตานี,28,23,821,7112565
22,2564,1,กุ้งกุลาดำ,96,นราธิวาส,7,8,1143,7112565
23,2563,1,กุ้งกุลาดำ,24,ฉะเชิงเทรา,257,362,1409,7112565
24,2563,1,กุ้งกุลาดำ,22,จันทบุรี  ,565,725,1283,7112565
25,2563,1,กุ้งกุลาดำ,23,ตราด,14,14,1000,7112565
26,2563,1,กุ้งกุลาดำ,21,ระยอง,61,63,1033,7112565
27,2563,1,กุ้งกุลาดำ,75,สมุทรสงคราม,28,53,1893,7112565
28,2563,1,กุ้งกุลาดำ,76,เพชรบุรี,57,85,1491,7112565
29,2563,1,กุ้งกุลาดำ,77,ประจวบคีรีขันธ์,308,549,1782,7112565
30,2563,1,กุ้งกุลาดำ,86,ชุมพร,450,831,1847,7112565
31,2563,1,กุ้งกุลาดำ,85,ระนอง,296,460,1554,7112565
32,2563,1,กุ้งกุลาดำ,84,สุราษฎร์ธานี,424,685,1616,7112565
33,2563,1,กุ้งกุลาดำ,82,พังงา,2174,2937,1351,7112565
34,2563,1,กุ้งกุลาดำ,83,ภูเก็ต,625,1397,2235,7112565
35,2563,1,กุ้งกุลาดำ,81,กระบี่,2327,2772,1191,7112565
36,2563,1,กุ้งกุลาดำ,92,ตรัง,479,830,1733,7112565
37,2563,1,กุ้งกุลาดำ,80,นครศรีธรรมราช,99,120,1212,7112565
38,2563,1,กุ้งกุลาดำ,93,พัทลุง,11,15,1364,7112565
39,2563,1,กุ้งกุลาดำ,90,สงขลา,435,534,1228,7112565
40,2563,1,กุ้งกุลาดำ,91,สตูล,259,531,2050,7112565
41,2563,1,กุ้งกุลาดำ,94,ปัตตานี,31,47,1516,7112565
42,2563,1,กุ้งกุลาดำ,96,นราธิวาส,9,12,1333,7112565
43,2562,1,กุ้งกุลาดำ,24,ฉะเชิงเทรา ,240,251,1045,23092564
44,2562,1,กุ้งกุลาดำ,22,จันทบุรี,560,909,1623,23092564
45,2562,1,กุ้งกุลาดำ,23,ตราด,27,29,1067,23092564
46,2562,1,กุ้งกุลาดำ,21,ระยอง,57,74,1290,23092564
47,2562,1,กุ้งกุลาดำ,75,สมุทรสงคราม,23,34,1454,23092564
